NAME	CD8 T	B	Naive CD4 T	CD14+ Mono	NK	FCGR3A+ Mono	Memory CD4 T	DC	Platelet
A2M.AS1	19.8361936539758	1.0411581521333	7.64375860514658	3.61990760856408	11.2755673484093	1.06217133082778	4.12546828487401	1.46077454522074	4.2021091164536
AAGAB	80.3607854834015	10.6345826311092	16.2182903099408	20.4364035065948	35.9058754228284	14.5694319220835	16.8435736755981	10.9415629159876	4.2021091164536
AAK1	114.229769763292	15.6401563918235	143.032823605427	20.5196263953605	95.61393191795	19.8664601756727	242.635047085928	8.54386615213009	4.2021091164536
AARSD1	12.4198577702595	10.0003847574062	8.51879601066001	8.16813547089177	6.902656361773	11.5258763935803	33.973224433995	5.80413656579219	4.2021091164536
AATK	1.05979217346883	1.0411581521333	1	2.86371525385244	1.15492425868848	2.79092964612348	1	1.46077454522074	89.3609769864314
ABCA2	14.653783104395	1.0411581521333	7.11550650353135	8.39141544076315	12.5600185853937	1.06217133082778	2.89774150152717	1.46077454522074	4.2021091164536
ABCB1	10.3051840650348	2.01096074234388	3.54986588302728	2.1827511102118	38.3873024395942	1.87877488408943	6.89798525876871	1.46077454522074	4.2021091164536
ABCB4	2.8672313555877	15.2263604327882	1	1.4178656956791	2.6607263205635	1.06217133082778	1	1.46077454522074	4.2021091164536
ABCC10	45.6056748272177	1.0411581521333	7.75178705399601	8.79466061575866	5.37285070215108	3.85978104334483	2.14108880671762	1.46077454522074	4.2021091164536
ABCC3	1.05979217346883	1.0411581521333	1	6.85507130774266	1.15492425868848	13.2060276655849	1	1.46077454522074	209.447020917765
ABHD14A	90.5593240891257	23.2229501237982	95.389539621401	13.6327693901258	127.079319359184	7.05141701785234	80.5787896413304	14.8933463703557	4.2021091164536
ABHD17A	101.396889909473	11.5163244628758	34.5049865648773	17.0603143532604	176.735909650825	15.6401563918235	20.9967026765706	32.9391996487894	55.4781853323876
ABHD17B	12.1994223092951	16.6187751733213	7.397781845502	3.94005136240823	22.3900839541862	6.20107921509171	35.6697784814558	1.46077454522074	4.2021091164536
AC002310.12	2.09093556103259	5.88507668316297	4.01026381602116	1.29892389613463	7.46371815485845	3.93664873541887	13.2450379865579	1.46077454522074	4.2021091164536
AC004069.2	1.05979217346883	1.0411581521333	1	3.98786717529843	1.15492425868848	2.79747736471324	1	1.46077454522074	97.2588435938513
