NAME	Myofibroblast	CAF	Skeletal muscle	Myocyte	Endothelial	Mast	CD4+ T conv	CD8+ T eff	Dendritic	B cell	Treg	CD8+ T exh	Macrophage	Plasma cell
A2MP1	1	1	1	1.02957389030577	10.8473357314737	21.5383325924514	1.56529096587752	5.57562239127754	1.00505423613815	1.01295334491398	3.8132500556595	1	1	1.0133865721436
ABCA10	2.99337100212039	78.6111320870444	1.38325813897687	11.2847619544926	1.31153003651795	3.36818150785334	1.18013908235776	2.0602613914922	1.00505423613815	1.01295334491398	1.53003694442166	1.40276397434914	1.60688365352967	3.98888336164387
ABCA6	2.12816167540189	200.367314907838	92.0127925348077	1.02957389030577	1.8850534708508	1.00111362007435	1.33922794598501	1	1.00505423613815	1.01295334491398	1	1	33.9118085848129	9.42449995258139
ABCA8	8.79739455419008	250.066701015873	255.307971848101	24.6598999899526	1.69488393362816	1.00111362007435	1.46800358645951	1.29890026609985	1.00505423613815	14.635163224771	1.2108088724516	1	1	1.0133865721436
ABCB1	1.14041642967901	3.77747478665611	1	1.02957389030577	68.5577735749395	5.98366514707326	27.001460293754	31.435923047172	1.88580081428651	10.270778146228	1.21073291126558	99.8449376143218	1	6.62688248678654
ABCB9	4.60600935106157	1.16483507221624	2.64971792216872	1.02957389030577	5.75653959774283	1.00111362007435	3.74581511947396	2.74734982326061	1.00505423613815	6.93124688287644	3.15437359798767	6.3274868635904	1.93836418878457	58.634414231328
ABCC3	3.91879090735916	8.81204629558103	16.395289284281	1.02957389030577	1	1.00111362007435	1	1.29231104426795	2.75948960670104	1.01295334491398	1	1	96.8157516458433	3.23394349973147
ABCD2	2.94308111957547	1.21428201664024	2.12512925926694	1.02957389030577	1	1.00111362007435	14.2127679167806	27.0155900685979	29.5918771921706	2.86441286322039	3.73439488420237	25.3742844663131	1	23.779516938363
ABI3	1.36655345875812	1.04840298915426	1	1.02957389030577	113.849407500718	1.00111362007435	88.8871863857402	206.717813963929	1.00505423613815	21.1782004296852	174.183286760107	231.330249516303	281.461096102703	1.0133865721436
ABI3BP	25.5603154413159	251.093982669943	167.353791499567	1.02957389030577	22.0191972334172	19.1537701256393	1.3222668148617	2.02056636046022	1.00505423613815	1.01295334491398	1.6775255329444	1.36554329812278	1.27283133487499	13.0781767501147
ABLIM2	30.620561554827	2.40504612854318	39.2687590148304	375.879157572476	88.0749228780223	1.00111362007435	3.61694619199447	7.04487194288069	1.95913631971794	1.01295334491398	1	2.80805784306008	1	1.0133865721436
ABLIM3	1.13477949025766	16.8042880018225	44.701049811461	26.6520092975062	80.607139034975	1.00111362007435	1.10442405408543	1	1.00505423613815	1.01295334491398	3.27859465576047	1	18.6666768808165	1.0133865721436
ABP1	1	1	1	1.02957389030577	1	18.1925941216054	1	1	323.503592621221	3.4543603502377	1	1	14.1509265300304	25.9174369908686
ABRA	6.85290955240501	1.01520261580459	1.29206937113211	74.351490631568	2.88108560591252	2.14213350393385	1.9818093946025	3.9005495643592	2.21077888069415	1.01295334491398	1.199764899956	1.60199226278598	1	4.48122921340896
ABTB2	16.6318913851498	24.069081758525	27.262088325298	15.5829461066429	1.19469944024426	1.00111362007435	2.61543007916828	2.82336671162654	93.5439860328277	1.01295334491398	8.13845945442208	12.4303234594033	4.41749445846097	1.0133865721436
ACAN	55.3079226980209	1.49067621764157	1	1.02957389030577	1.03473835760018	1.00111362007435	3.1383339869016	1.32601722325216	4.42905359932994	3.73439488420237	2.10339943618813	1	1	1.0133865721436
ACAP1	1.81351141473675	2.75110439397177	1	8.71547430543713	3.54016495815917	113.244254268786	295.775149945722	290.905142079685	48.8116900647201	208.605017621313	265.187638509721	310.464830225801	82.8207420406256	70.473720538749
ACE	1	8.45681426657171	1	5.84764764384939	82.5404190645253	19.8732866575685	3.92794074562865	1.48650928134029	2.74671090939211	1.01295334491398	1	1	80.4384876668885	1.0133865721436
ACHE	22.3168460208353	2.28182037887757	25.0833875614358	275.535194582682	4.58917168472725	1.00111362007435	2.52892724992473	5.26309043189642	162.625791173238	4.01661306384877	1	2.4213592940403	1	1.0133865721436
ACOT11	10.812419830788	4.36185453665778	8.37896886159705	107.729172050954	2.0831754856134	27.1118015321012	1.14366259243413	1	1.00505423613815	1.01295334491398	1.39348521308735	2.33931340051198	31.8426179038834	1.0133865721436
ACOT7	11.170786337702	13.8978713156733	57.9778394382595	1.02957389030577	90.3814864580693	304.294237486038	34.5334546782403	23.6488867610336	48.5076245280114	1.01295334491398	58.6962129526	53.6125724732314	147.785233809245	3.19416580472313
ACOX2	25.681835730136	40.3050464147783	47.4924285928805	1.02957389030577	2.9199652878402	1.00111362007435	1	1	1.00505423613815	1.01295334491398	1	1	1	1.0133865721436
ACOXL	1	1.05063044056874	1	1.02957389030577	1	1.00111362007435	1	1	19.1407682140405	1.01295334491398	4.44741543515668	1	1	170.422594066311
ACP5	3.03267806627877	15.7500734872615	1	1.02957389030577	1.26063789295428	205.357944269209	129.205709859017	46.7013056402945	20.9107857783038	131.4003871342	354.990879223126	297.322399789553	265.721040850328	13.9489342295815
ACPP	1.09591262556282	1.16021184179108	1.61123784830601	1.02957389030577	1.15216350422675	1.00111362007435	1.86167075582496	2.65696957059736	25.8863945862331	7.48665400587887	1.89325063743192	1.72247474320115	44.2245875916143	4.11873331976365
ACRV1	1	1.0120503847187	1	1.02957389030577	1.13934724956889	1.00111362007435	1.5763907833911	1	1.00505423613815	16.0017419602427	1	1	1	1.0133865721436
